                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.65898,                0.98766,                 1.2479,                0.73764,                0.78596,                0.81284,                0.72651,                  0.465,                0.69454,                 1.1039,               0.002476,               0.002476,               0.002476
                     79,                0.65179,                0.97369,                 1.2434,                 0.7437,                 0.7888,                0.81769,                 0.7315,                0.46317,                0.68493,                 1.1019,               0.002377,               0.002377,               0.002377
                     80,                0.65291,                0.96927,                 1.2416,                0.74885,                0.79392,                0.82226,                0.73628,                0.46132,                0.67535,                 1.0998,               0.002278,               0.002278,               0.002278
                     81,                0.64648,                0.95853,                 1.2384,                0.75441,                0.79837,                 0.8269,                0.74113,                0.45949,                0.66583,                 1.0977,               0.002179,               0.002179,               0.002179
                     82,                0.64202,                0.93652,                  1.231,                0.76276,                 0.7999,                0.83189,                0.74635,                0.45759,                0.65628,                 1.0956,                0.00208,                0.00208,                0.00208
                     83,                0.63972,                0.92501,                  1.231,                0.77006,                0.80119,                0.83673,                0.75143,                0.45573,                 0.6468,                 1.0935,               0.001981,               0.001981,               0.001981
                     84,                 0.6355,                0.91793,                 1.2255,                0.77511,                0.80534,                0.84149,                0.75654,                0.45381,                0.63726,                 1.0913,               0.001882,               0.001882,               0.001882
                     85,                0.63739,                0.90414,                 1.2271,                0.77982,                0.81005,                0.84633,                 0.7617,                0.45181,                0.62772,                  1.089,               0.001783,               0.001783,               0.001783
                     86,                0.62731,                0.89091,                 1.2203,                0.78521,                0.81515,                0.85099,                0.76669,                0.44986,                0.61828,                 1.0868,               0.001684,               0.001684,               0.001684
                     87,                0.63003,                 0.8822,                 1.2223,                0.79172,                0.81837,                0.85554,                0.77151,                0.44779,                0.60875,                 1.0845,               0.001585,               0.001585,               0.001585
                     88,                0.62539,                0.86814,                 1.2188,                0.79709,                 0.8223,                0.86015,                0.77633,                0.44578,                0.59929,                 1.0822,               0.001486,               0.001486,               0.001486
                     89,                0.62125,                  0.848,                 1.2141,                0.80029,                0.82779,                0.86477,                0.78137,                0.44378,                0.58955,                   1.08,               0.001387,               0.001387,               0.001387
                     90,                 0.6163,                0.84004,                 1.2118,                0.80666,                0.83046,                 0.8694,                0.78628,                0.44166,                0.57996,                 1.0776,               0.001288,               0.001288,               0.001288
                     91,                0.45099,                0.48348,                 1.0668,                0.80938,                0.83745,                0.87403,                0.79122,                0.43953,                0.57011,                 1.0753,               0.001189,               0.001189,               0.001189
                     92,                 0.4405,                0.45255,                 1.0548,                0.81527,                0.84097,                0.87867,                0.79633,                0.43734,                0.55987,                 1.0728,                0.00109,                0.00109,                0.00109
                     93,                0.43277,                0.43125,                 1.0454,                0.82297,                 0.8444,                0.88336,                0.80144,                0.43509,                0.54955,                 1.0701,               0.000991,               0.000991,               0.000991
                     94,                0.42982,                0.41006,                 1.0414,                0.82828,                0.84865,                0.88811,                0.80667,                0.43281,                0.53895,                 1.0675,               0.000892,               0.000892,               0.000892
                     95,                0.42554,                0.39045,                 1.0371,                 0.8337,                0.85352,                0.89277,                0.81167,                0.43049,                0.52816,                 1.0648,               0.000793,               0.000793,               0.000793
                     96,                0.41901,                0.37382,                 1.0342,                0.84256,                0.85499,                0.89739,                0.81699,                 0.4282,                0.51732,                 1.0621,               0.000694,               0.000694,               0.000694
                     97,                0.41325,                0.36353,                 1.0229,                0.84849,                0.85867,                0.90193,                0.82199,                0.42589,                0.50645,                 1.0593,               0.000595,               0.000595,               0.000595
                     98,                0.40835,                0.34783,                 1.0215,                0.85461,                0.86183,                0.90636,                0.82708,                0.42352,                0.49563,                 1.0565,               0.000496,               0.000496,               0.000496
                     99,                0.40418,                0.33313,                 1.0165,                0.86061,                0.86509,                0.91073,                0.83216,                0.42119,                0.48504,                 1.0537,               0.000397,               0.000397,               0.000397
                    100,                0.40023,                0.32065,                 1.0113,                0.86465,                 0.8698,                0.91492,                0.83699,                0.41883,                0.47416,                 1.0509,               0.000298,               0.000298,               0.000298
